,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_per_Year,Log_MonthlyIncome,Log_DailyRate,Norm_Age,Norm_MonthlyRate,Poly_0,Poly_1,Poly_2,Poly_3,Poly_4
48,46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,6926.4,8.660947155060933,7.10002716662926,0.6666666666666665,0.736839991969484,4.0,21.0,16.0,84.0,441.0
49,35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,13614.0,7.727535110475448,7.114769448366463,0.4047619047619047,0.11234691828950011,3.0,19.0,9.0,57.0,361.0
50,48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,32286.0,8.590815331286851,6.440946540632921,0.7142857142857142,0.6906243726159406,3.0,13.0,9.0,39.0,169.0
51,28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,13764.0,8.143807976771484,7.268920128193722,0.23809523809523808,0.36478618751254765,3.0,13.0,9.0,39.0,169.0
52,44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,13089.6,8.604287898267172,7.305860032684009,0.6190476190476188,0.07689219032322828,4.0,21.0,16.0,84.0,441.0
53,35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,23721.6,9.198773735604718,7.001245622069476,0.4047619047619047,0.24926721541859062,3.0,13.0,9.0,39.0,169.0
54,26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,16628.0,8.332789468417959,7.275172319452771,0.19047619047619052,0.7766311985545071,3.0,19.0,9.0,57.0,361.0
55,33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,10093.5,9.507403306233716,6.246106765481563,0.35714285714285715,0.5240714715920498,3.0,12.0,9.0,36.0,144.0
56,35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,10882.8,9.112727543109182,6.74993119378857,0.4047619047619047,0.3588436057016663,4.0,22.0,16.0,88.0,484.0
57,35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,16056.0,8.297792626380861,7.04141166379481,0.4047619047619047,0.5584420799036338,3.0,15.0,9.0,45.0,225.0
58,31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,8872.5,8.68541582383069,6.486160788944089,0.3095238095238095,0.29849427825737807,4.0,22.0,16.0,88.0,484.0
59,37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,8989.5,8.69851424787661,7.017506142941256,0.4523809523809524,0.023890784982935148,3.0,18.0,9.0,54.0,324.0
60,32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,7394.4,8.726318950962243,6.059123195581797,0.3333333333333333,0.3526601084119655,4.0,22.0,16.0,88.0,484.0
61,38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,2624.7272727272725,7.786136437783072,6.483107351457199,0.4761904761904761,0.13499297329853444,3.0,11.0,9.0,33.0,121.0
62,50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,8031.428571428572,9.838468916161679,6.897704943128636,0.7619047619047619,0.5865087331861072,3.0,12.0,9.0,36.0,144.0
63,59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,4165.636363636364,8.940891067785461,7.269616749608169,0.976190476190476,0.010439670748845609,3.0,11.0,9.0,33.0,121.0
64,36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,6730.666666666667,9.219993629004321,7.1098794630722715,0.42857142857142855,0.24525195743826542,3.0,13.0,9.0,39.0,169.0
65,55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,29512.0,9.59947282546345,6.729824070489475,0.8809523809523809,0.7081308974101586,3.0,14.0,9.0,42.0,196.0
66,36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,11141.142857142857,8.779557455883728,7.086737934510577,0.42857142857142855,0.825617345914475,3.0,13.0,9.0,39.0,169.0
67,45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,58344.0,9.182455168486648,7.200424892944957,0.6428571428571428,0.6702670146556916,3.0,17.0,9.0,51.0,289.0
68,35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,6582.0,7.693937325509272,6.499787040655854,0.4047619047619047,0.1515358361774744,3.0,13.0,9.0,39.0,169.0
69,36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,20328.0,8.128290171607052,5.765191102784844,0.42857142857142855,0.7903232282674162,3.0,17.0,9.0,51.0,289.0
70,59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,13135.2,8.607764889600624,7.111512116496157,0.976190476190476,0.9064043364786187,3.0,11.0,9.0,33.0,121.0
71,29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,5406.0,7.902487437162855,7.192182058713246,0.2619047619047619,0.11491668339690825,4.0,23.0,16.0,92.0,529.0
72,31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,15006.0,7.824845691026856,6.9874902470009905,0.3095238095238095,0.6697851836980526,3.0,17.0,9.0,51.0,289.0
73,32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,6785.454545454545,8.73568594451502,6.3080984415095305,0.3333333333333333,0.21088134912668136,3.0,17.0,9.0,51.0,289.0
74,36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,18228.0,8.019283792916793,4.890349128221754,0.42857142857142855,0.799357558723148,3.0,12.0,9.0,36.0,144.0
75,31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,4424.0,8.39502555744203,6.616065185132817,0.3095238095238095,0.7463561533828549,4.0,23.0,16.0,92.0,529.0
76,35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,3234.0,8.369388996647842,6.655440350367647,0.4047619047619047,0.8400722746436459,3.0,14.0,9.0,42.0,196.0
77,45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,158940.0,9.491450899044924,5.267858159063328,0.6428571428571428,0.5208994177875929,3.0,14.0,9.0,42.0,196.0
78,37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,27328.0,9.522593098362169,5.986452005284438,0.4523809523809524,0.9300943585625375,3.0,13.0,9.0,39.0,169.0
79,46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,12050.4,8.52158353971753,6.852242569051878,0.6666666666666665,0.3345111423408954,4.0,22.0,16.0,88.0,484.0
80,30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,5592.0,8.5422759717837,6.748759547491679,0.28571428571428564,0.5582814695844208,3.0,12.0,9.0,36.0,144.0
81,35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,4901.142857142857,7.958576903813898,7.102499355774649,0.4047619047619047,0.9710499899618551,3.0,18.0,9.0,54.0,324.0
82,55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,61434.0,9.234056898593499,4.718498871295094,0.8809523809523809,0.6423609716924312,3.0,14.0,9.0,42.0,196.0
83,38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,4567.714285714285,8.58110651715989,6.352629396319567,0.4761904761904761,0.5469985946597069,3.0,12.0,9.0,36.0,144.0
