,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,Overtime_Hours,Log_avg_hours,Norm_satisfaction,Norm_evaluation,Poly_0,Poly_1,Poly_2,Poly_3,Poly_4,job_satisfaction,salary_multiplier,years_since_promotion
19,0.76,0.89,5.0,262.0,5.0,0.0,1.0,0.0,sales,low,162.0,5.572154032177765,0.7362637362637362,0.828125,0.76,0.89,0.5776,0.6764,0.7921,0.6764,,5.0
20,0.11,0.83,6.0,282.0,4.0,0.0,1.0,0.0,sales,low,162.0,5.645446897643238,0.021978021978021983,0.734375,0.11,0.83,0.0121,0.09129999999999999,0.6889,0.09129999999999999,,4.0
21,0.38,0.55,2.0,147.0,3.0,0.0,1.0,0.0,sales,low,107.0,4.997212273764115,0.31868131868131866,0.2968750000000001,0.38,0.55,0.1444,0.20900000000000002,0.30250000000000005,0.20900000000000002,,3.0
22,0.09,0.95,6.0,304.0,4.0,0.0,1.0,0.0,sales,low,184.0,5.720311776607412,0.0,0.921875,0.09,0.95,0.0081,0.08549999999999999,0.9025,0.08549999999999999,,4.0
23,0.46,0.57,2.0,139.0,3.0,0.0,1.0,0.0,sales,low,99.0,4.941642422609304,0.4065934065934066,0.3281249999999999,0.46,0.57,0.2116,0.2622,0.32489999999999997,0.2622,,3.0
24,0.4,0.53,2.0,158.0,3.0,0.0,1.0,0.0,sales,low,118.0,5.0689042022202315,0.34065934065934067,0.265625,0.4,0.53,0.16000000000000003,0.21200000000000002,0.28090000000000004,0.21200000000000002,,3.0
25,0.89,0.92,5.0,242.0,5.0,0.0,1.0,0.0,sales,low,142.0,5.493061443340548,0.879120879120879,0.875,0.89,0.92,0.7921,0.8188000000000001,0.8464,0.8188000000000001,,5.0
26,0.82,0.87,4.0,239.0,5.0,0.0,1.0,0.0,sales,low,159.0,5.480638923341991,0.802197802197802,0.796875,0.82,0.87,0.6723999999999999,0.7133999999999999,0.7569,0.7133999999999999,,5.0
27,0.4,0.49,2.0,135.0,3.0,0.0,1.0,0.0,sales,low,95.0,4.912654885736052,0.34065934065934067,0.203125,0.4,0.49,0.16000000000000003,0.196,0.24009999999999998,0.196,,3.0
28,0.41,0.46,2.0,128.0,3.0,0.0,1.0,0.0,accounting,low,88.0,4.859812404361672,0.35164835164835156,0.15625,0.41,0.46,0.16809999999999997,0.1886,0.2116,0.1886,,3.0
29,0.38,0.5,2.0,132.0,3.0,0.0,1.0,0.0,accounting,low,92.0,4.890349128221754,0.31868131868131866,0.21875,0.38,0.5,0.1444,0.19,0.25,0.19,,3.0
30,0.09,0.62,6.0,294.0,4.0,0.0,1.0,0.0,accounting,low,174.0,5.68697535633982,0.0,0.40625,0.09,0.62,0.0081,0.055799999999999995,0.3844,0.055799999999999995,,4.0
31,0.45,0.57,2.0,134.0,3.0,0.0,1.0,0.0,hr,low,94.0,4.90527477843843,0.3956043956043956,0.3281249999999999,0.45,0.57,0.2025,0.2565,0.32489999999999997,0.2565,,3.0
32,0.4,0.51,2.0,145.0,3.0,0.0,1.0,0.0,hr,low,105.0,4.983606621708336,0.34065934065934067,0.234375,0.4,0.51,0.16000000000000003,0.20400000000000001,0.2601,0.20400000000000001,,3.0
33,0.45,0.55,2.0,140.0,3.0,0.0,1.0,0.0,hr,low,100.0,4.948759890378168,0.3956043956043956,0.2968750000000001,0.45,0.55,0.2025,0.24750000000000003,0.30250000000000005,0.24750000000000003,,3.0
34,0.84,0.87,4.0,246.0,6.0,0.0,1.0,0.0,hr,low,166.0,5.5093883366279774,0.824175824175824,0.796875,0.84,0.87,0.7055999999999999,0.7308,0.7569,0.7308,,6.0
35,0.1,0.94,6.0,255.0,4.0,0.0,1.0,0.0,technical,low,135.0,5.545177444479562,0.010989010989011005,0.90625,0.1,0.94,0.010000000000000002,0.094,0.8835999999999999,0.094,,4.0
36,0.38,0.46,2.0,137.0,3.0,0.0,1.0,0.0,technical,low,97.0,4.927253685157205,0.31868131868131866,0.15625,0.38,0.46,0.1444,0.1748,0.2116,0.1748,,3.0
37,0.45,0.5,2.0,126.0,3.0,0.0,1.0,0.0,technical,low,86.0,4.844187086458591,0.3956043956043956,0.21875,0.45,0.5,0.2025,0.225,0.25,0.225,,3.0
38,0.11,0.89,6.0,306.0,4.0,0.0,1.0,0.0,technical,low,186.0,5.726847747587197,0.021978021978021983,0.828125,0.11,0.89,0.0121,0.0979,0.7921,0.0979,,4.0
39,0.41,0.54,2.0,152.0,3.0,0.0,1.0,0.0,technical,low,112.0,5.030437921392435,0.35164835164835156,0.28125,0.41,0.54,0.16809999999999997,0.2214,0.2916,0.2214,,3.0
40,0.87,0.88,5.0,269.0,5.0,0.0,1.0,0.0,technical,low,169.0,5.598421958998375,0.8571428571428571,0.8125,0.87,0.88,0.7569,0.7656,0.7744,0.7656,,5.0
41,0.45,0.48,2.0,158.0,3.0,0.0,1.0,0.0,technical,low,118.0,5.0689042022202315,0.3956043956043956,0.1875,0.45,0.48,0.2025,0.216,0.2304,0.216,,3.0
42,0.4,0.46,2.0,127.0,3.0,0.0,1.0,0.0,technical,low,87.0,4.852030263919617,0.34065934065934067,0.15625,0.4,0.46,0.16000000000000003,0.18400000000000002,0.2116,0.18400000000000002,,3.0
43,0.1,0.8,7.0,281.0,4.0,0.0,1.0,0.0,technical,low,141.0,5.641907070938114,0.010989010989011005,0.6875,0.1,0.8,0.010000000000000002,0.08000000000000002,0.6400000000000001,0.08000000000000002,,4.0
44,0.09,0.89,6.0,276.0,4.0,0.0,1.0,0.0,technical,low,156.0,5.6240175061873385,0.0,0.828125,0.09,0.89,0.0081,0.0801,0.7921,0.0801,,4.0
45,0.84,0.74,3.0,182.0,4.0,0.0,1.0,0.0,technical,low,122.0,5.209486152841421,0.824175824175824,0.59375,0.84,0.74,0.7055999999999999,0.6215999999999999,0.5476,0.6215999999999999,,4.0
46,0.4,0.55,2.0,147.0,3.0,0.0,1.0,0.0,support,low,107.0,4.997212273764115,0.34065934065934067,0.2968750000000001,0.4,0.55,0.16000000000000003,0.22000000000000003,0.30250000000000005,0.22000000000000003,,3.0
47,0.57,0.7,3.0,273.0,6.0,0.0,1.0,0.0,support,low,213.0,5.6131281063880705,0.5274725274725274,0.53125,0.57,0.7,0.32489999999999997,0.39899999999999997,0.48999999999999994,0.39899999999999997,,6.0
48,0.4,0.54,2.0,148.0,3.0,0.0,1.0,0.0,support,low,108.0,5.003946305945459,0.34065934065934067,0.28125,0.4,0.54,0.16000000000000003,0.21600000000000003,0.2916,0.21600000000000003,,3.0
49,0.43,0.47,2.0,147.0,3.0,0.0,1.0,0.0,support,low,107.0,4.997212273764115,0.3736263736263736,0.171875,0.43,0.47,0.18489999999999998,0.20209999999999997,0.22089999999999999,0.20209999999999997,,3.0
50,0.13,0.78,6.0,152.0,2.0,0.0,1.0,0.0,support,low,32.0,5.030437921392435,0.043956043956043966,0.65625,0.13,0.78,0.016900000000000002,0.1014,0.6084,0.1014,,2.0
51,0.44,0.55,2.0,135.0,3.0,0.0,1.0,0.0,support,low,95.0,4.912654885736052,0.3846153846153846,0.2968750000000001,0.44,0.55,0.1936,0.24200000000000002,0.30250000000000005,0.24200000000000002,,3.0
52,0.38,0.55,2.0,134.0,3.0,0.0,1.0,0.0,support,low,94.0,4.90527477843843,0.31868131868131866,0.2968750000000001,0.38,0.55,0.1444,0.20900000000000002,0.30250000000000005,0.20900000000000002,,3.0
53,0.39,0.54,2.0,132.0,3.0,0.0,1.0,0.0,support,low,92.0,4.890349128221754,0.32967032967032966,0.28125,0.39,0.54,0.1521,0.2106,0.2916,0.2106,,3.0
54,0.1,0.92,7.0,307.0,4.0,0.0,1.0,0.0,support,low,167.0,5.730099782973574,0.010989010989011005,0.875,0.1,0.92,0.010000000000000002,0.09200000000000001,0.8464,0.09200000000000001,,4.0
55,0.37,0.46,2.0,140.0,3.0,0.0,1.0,0.0,support,low,100.0,4.948759890378168,0.30769230769230765,0.15625,0.37,0.46,0.1369,0.17020000000000002,0.2116,0.17020000000000002,,3.0
56,0.11,0.94,7.0,255.0,4.0,0.0,1.0,0.0,support,low,115.0,5.545177444479562,0.021978021978021983,0.90625,0.11,0.94,0.0121,0.10339999999999999,0.8835999999999999,0.10339999999999999,,4.0
57,0.1,0.81,6.0,309.0,4.0,0.0,1.0,0.0,technical,low,189.0,5.736572297479192,0.010989010989011005,0.703125,0.1,0.81,0.010000000000000002,0.08100000000000002,0.6561000000000001,0.08100000000000002,,4.0
58,0.38,0.54,2.0,128.0,3.0,0.0,1.0,0.0,technical,low,88.0,4.859812404361672,0.31868131868131866,0.28125,0.38,0.54,0.1444,0.20520000000000002,0.2916,0.20520000000000002,,3.0
59,0.85,1.0,4.0,225.0,5.0,0.0,1.0,0.0,technical,low,145.0,5.420534999272286,0.8351648351648351,1.0,0.85,1.0,0.7224999999999999,0.85,1.0,0.85,,5.0
60,0.85,0.91,5.0,226.0,5.0,0.0,1.0,0.0,management,medium,126.0,5.424950017481403,0.8351648351648351,0.859375,0.85,0.91,0.7224999999999999,0.7735,0.8281000000000001,0.7735,,5.0
61,0.11,0.93,7.0,308.0,4.0,0.0,1.0,0.0,IT,medium,168.0,5.733341276897746,0.021978021978021983,0.890625,0.11,0.93,0.0121,0.1023,0.8649000000000001,0.1023,,4.0
62,0.1,0.95,6.0,244.0,5.0,0.0,1.0,0.0,IT,medium,124.0,5.501258210544727,0.010989010989011005,0.921875,0.1,0.95,0.010000000000000002,0.095,0.9025,0.095,,5.0
63,0.36,0.56,2.0,132.0,3.0,0.0,1.0,0.0,IT,medium,92.0,4.890349128221754,0.29670329670329665,0.3125000000000001,0.36,0.56,0.1296,0.2016,0.31360000000000005,0.2016,,3.0
64,0.11,0.94,6.0,286.0,4.0,0.0,1.0,0.0,IT,medium,166.0,5.659482215759621,0.021978021978021983,0.90625,0.11,0.94,0.0121,0.10339999999999999,0.8835999999999999,0.10339999999999999,,4.0
65,0.81,0.7,6.0,161.0,4.0,0.0,1.0,0.0,IT,medium,41.0,5.087596335232384,0.7912087912087912,0.53125,0.81,0.7,0.6561000000000001,0.567,0.48999999999999994,0.567,,4.0
66,0.43,0.54,2.0,153.0,3.0,0.0,1.0,0.0,product_mng,medium,113.0,5.0369526024136295,0.3736263736263736,0.28125,0.43,0.54,0.18489999999999998,0.23220000000000002,0.2916,0.23220000000000002,,3.0
67,0.9,0.98,4.0,264.0,6.0,0.0,1.0,0.0,product_mng,medium,184.0,5.579729825986222,0.8901098901098901,0.96875,0.9,0.98,0.81,0.882,0.9603999999999999,0.882,,6.0
68,0.76,0.86,5.0,223.0,5.0,1.0,1.0,0.0,product_mng,medium,123.0,5.4116460518550396,0.7362637362637362,0.78125,0.76,0.86,0.5776,0.6536,0.7395999999999999,0.6536,,5.0
69,0.43,0.5,2.0,135.0,3.0,0.0,1.0,0.0,product_mng,medium,95.0,4.912654885736052,0.3736263736263736,0.21875,0.43,0.5,0.18489999999999998,0.215,0.25,0.215,,3.0
70,0.74,0.99,2.0,277.0,3.0,0.0,1.0,0.0,IT,medium,237.0,5.627621113690637,0.7142857142857142,0.984375,0.74,0.99,0.5476,0.7326,0.9801,0.7326,,3.0
71,0.09,0.77,5.0,275.0,4.0,0.0,1.0,0.0,product_mng,medium,175.0,5.62040086571715,0.0,0.640625,0.09,0.77,0.0081,0.0693,0.5929,0.0693,,4.0
72,0.45,0.49,2.0,149.0,3.0,0.0,1.0,0.0,product_mng,high,109.0,5.0106352940962555,0.3956043956043956,0.203125,0.45,0.49,0.2025,0.2205,0.24009999999999998,0.2205,,3.0
73,0.09,0.87,7.0,295.0,4.0,0.0,1.0,0.0,product_mng,low,155.0,5.69035945432406,0.0,0.796875,0.09,0.87,0.0081,0.0783,0.7569,0.0783,,4.0
74,0.11,0.97,6.0,277.0,4.0,0.0,1.0,0.0,product_mng,medium,157.0,5.627621113690637,0.021978021978021983,0.953125,0.11,0.97,0.0121,0.1067,0.9409,0.1067,,4.0
75,0.11,0.79,7.0,306.0,4.0,0.0,1.0,0.0,product_mng,medium,166.0,5.726847747587197,0.021978021978021983,0.671875,0.11,0.79,0.0121,0.0869,0.6241000000000001,0.0869,,4.0
76,0.1,0.83,6.0,295.0,4.0,0.0,1.0,0.0,product_mng,medium,175.0,5.69035945432406,0.010989010989011005,0.734375,0.1,0.83,0.010000000000000002,0.083,0.6889,0.083,,4.0
77,0.4,0.54,2.0,137.0,3.0,0.0,1.0,0.0,marketing,medium,97.0,4.927253685157205,0.34065934065934067,0.28125,0.4,0.54,0.16000000000000003,0.21600000000000003,0.2916,0.21600000000000003,,3.0
78,0.43,0.56,2.0,157.0,3.0,0.0,1.0,0.0,sales,low,117.0,5.062595033026967,0.3736263736263736,0.3125000000000001,0.43,0.56,0.18489999999999998,0.24080000000000001,0.31360000000000005,0.24080000000000001,,3.0
79,0.39,0.56,2.0,142.0,3.0,0.0,1.0,0.0,accounting,low,102.0,4.962844630259907,0.32967032967032966,0.3125000000000001,0.39,0.56,0.1521,0.21840000000000004,0.31360000000000005,0.21840000000000004,,3.0
80,0.45,0.54,2.0,140.0,3.0,0.0,1.0,0.0,support,low,100.0,4.948759890378168,0.3956043956043956,0.28125,0.45,0.54,0.2025,0.24300000000000002,0.2916,0.24300000000000002,,3.0
81,0.38,0.49,2.0,151.0,3.0,0.0,1.0,0.0,technical,low,111.0,5.0238805208462765,0.31868131868131866,0.203125,0.38,0.49,0.1444,0.1862,0.24009999999999998,0.1862,,3.0
82,0.79,0.59,4.0,139.0,3.0,0.0,1.0,1.0,management,low,59.0,4.941642422609304,0.7692307692307692,0.359375,0.79,0.59,0.6241000000000001,0.4661,0.34809999999999997,0.4661,,2.0
83,0.84,0.85,4.0,249.0,6.0,0.0,1.0,0.0,marketing,low,169.0,5.521460917862246,0.824175824175824,0.765625,0.84,0.85,0.7055999999999999,0.714,0.7224999999999999,0.714,,6.0
84,0.11,0.77,6.0,291.0,4.0,0.0,1.0,0.0,marketing,low,171.0,5.676753802268282,0.021978021978021983,0.640625,0.11,0.77,0.0121,0.0847,0.5929,0.0847,,4.0
85,0.11,0.87,6.0,305.0,4.0,0.0,1.0,0.0,marketing,low,185.0,5.723585101952381,0.021978021978021983,0.796875,0.11,0.87,0.0121,0.0957,0.7569,0.0957,,4.0
86,0.17,0.84,5.0,232.0,3.0,0.0,1.0,0.0,sales,low,132.0,5.4510384535657,0.08791208791208793,0.75,0.17,0.84,0.028900000000000006,0.1428,0.7055999999999999,0.1428,,3.0
87,0.44,0.45,2.0,132.0,3.0,0.0,1.0,0.0,sales,low,92.0,4.890349128221754,0.3846153846153846,0.140625,0.44,0.45,0.1936,0.198,0.2025,0.198,,3.0
88,0.37,0.57,2.0,130.0,3.0,0.0,1.0,0.0,sales,low,90.0,4.875197323201151,0.30769230769230765,0.3281249999999999,0.37,0.57,0.1369,0.21089999999999998,0.32489999999999997,0.21089999999999998,,3.0
89,0.1,0.79,6.0,291.0,4.0,0.0,1.0,0.0,sales,low,171.0,5.676753802268282,0.010989010989011005,0.671875,0.1,0.79,0.010000000000000002,0.07900000000000001,0.6241000000000001,0.07900000000000001,,4.0
90,0.4,0.5,2.0,130.0,3.0,0.0,1.0,0.0,sales,low,90.0,4.875197323201151,0.34065934065934067,0.21875,0.4,0.5,0.16000000000000003,0.2,0.25,0.2,,3.0
91,0.89,1.0,5.0,246.0,5.0,0.0,1.0,0.0,sales,low,146.0,5.5093883366279774,0.879120879120879,1.0,0.89,1.0,0.7921,0.89,1.0,0.89,,5.0
92,0.42,0.48,2.0,143.0,3.0,0.0,1.0,0.0,sales,low,103.0,4.969813299576001,0.36263736263736257,0.1875,0.42,0.48,0.17639999999999997,0.20159999999999997,0.2304,0.20159999999999997,,3.0
93,0.46,0.55,2.0,129.0,3.0,0.0,1.0,0.0,sales,low,89.0,4.867534450455582,0.4065934065934066,0.2968750000000001,0.46,0.55,0.2116,0.25300000000000006,0.30250000000000005,0.25300000000000006,,3.0
94,0.09,0.83,6.0,255.0,4.0,0.0,1.0,0.0,sales,low,135.0,5.545177444479562,0.0,0.734375,0.09,0.83,0.0081,0.07469999999999999,0.6889,0.07469999999999999,,4.0
95,0.37,0.51,2.0,155.0,3.0,0.0,1.0,0.0,sales,low,115.0,5.049856007249537,0.30769230769230765,0.234375,0.37,0.51,0.1369,0.1887,0.2601,0.1887,,3.0
96,0.1,0.77,6.0,265.0,4.0,0.0,1.0,0.0,sales,low,145.0,5.583496308781699,0.010989010989011005,0.640625,0.1,0.77,0.010000000000000002,0.07700000000000001,0.5929,0.07700000000000001,,4.0
97,0.1,0.84,6.0,279.0,4.0,0.0,1.0,0.0,sales,low,159.0,5.634789603169249,0.010989010989011005,0.75,0.1,0.84,0.010000000000000002,0.084,0.7055999999999999,0.084,,4.0
98,0.11,0.97,6.0,284.0,4.0,0.0,1.0,0.0,sales,low,164.0,5.652489180268651,0.021978021978021983,0.953125,0.11,0.97,0.0121,0.1067,0.9409,0.1067,,4.0
99,0.9,1.0,5.0,221.0,6.0,0.0,1.0,0.0,sales,medium,121.0,5.402677381872279,0.8901098901098901,1.0,0.9,1.0,0.81,0.9,1.0,0.9,,6.0
100,0.38,0.52,2.0,154.0,3.0,0.0,1.0,0.0,sales,medium,114.0,5.043425116919247,0.31868131868131866,0.25,0.38,0.52,0.1444,0.1976,0.27040000000000003,0.1976,,3.0
101,0.36,0.52,2.0,147.0,3.0,0.0,1.0,0.0,sales,medium,107.0,4.997212273764115,0.29670329670329665,0.25,0.36,0.52,0.1296,0.1872,0.27040000000000003,0.1872,,3.0
102,0.42,0.46,2.0,150.0,3.0,0.0,1.0,0.0,sales,medium,110.0,5.017279836814924,0.36263736263736257,0.15625,0.42,0.46,0.17639999999999997,0.1932,0.2116,0.1932,,3.0
103,0.09,0.94,7.0,267.0,4.0,0.0,1.0,0.0,sales,medium,127.0,5.5909869805108565,0.0,0.90625,0.09,0.94,0.0081,0.0846,0.8835999999999999,0.0846,,4.0
104,0.43,0.52,2.0,158.0,3.0,0.0,1.0,0.0,sales,medium,118.0,5.0689042022202315,0.3736263736263736,0.25,0.43,0.52,0.18489999999999998,0.2236,0.27040000000000003,0.2236,,3.0
105,0.24,0.46,7.0,224.0,5.0,0.0,1.0,0.0,accounting,medium,84.0,5.41610040220442,0.1648351648351648,0.15625,0.24,0.46,0.0576,0.1104,0.2116,0.1104,,5.0
106,0.91,1.0,4.0,257.0,5.0,0.0,1.0,0.0,accounting,medium,177.0,5.552959584921617,0.901098901098901,1.0,0.91,1.0,0.8281000000000001,0.91,1.0,0.91,,5.0
107,0.44,0.5,2.0,148.0,3.0,0.0,1.0,0.0,accounting,medium,108.0,5.003946305945459,0.3846153846153846,0.21875,0.44,0.5,0.1936,0.22,0.25,0.22,,3.0
108,0.71,0.87,3.0,177.0,4.0,0.0,1.0,0.0,hr,medium,117.0,5.181783550292085,0.6813186813186812,0.796875,0.71,0.87,0.5041,0.6176999999999999,0.7569,0.6176999999999999,,4.0
109,0.4,0.49,2.0,155.0,3.0,0.0,1.0,0.0,hr,medium,115.0,5.049856007249537,0.34065934065934067,0.203125,0.4,0.49,0.16000000000000003,0.196,0.24009999999999998,0.196,,3.0
110,0.43,0.47,2.0,144.0,3.0,0.0,1.0,0.0,hr,medium,104.0,4.976733742420574,0.3736263736263736,0.171875,0.43,0.47,0.18489999999999998,0.20209999999999997,0.22089999999999999,0.20209999999999997,,3.0
111,0.09,0.85,6.0,289.0,4.0,0.0,1.0,0.0,hr,high,169.0,5.66988092298052,0.0,0.765625,0.09,0.85,0.0081,0.0765,0.7224999999999999,0.0765,,4.0
112,0.43,0.52,2.0,160.0,3.0,0.0,1.0,0.0,technical,low,120.0,5.081404364984463,0.3736263736263736,0.25,0.43,0.52,0.18489999999999998,0.2236,0.27040000000000003,0.2236,,3.0
113,0.9,0.96,4.0,258.0,5.0,0.0,1.0,0.0,technical,medium,178.0,5.556828061699537,0.8901098901098901,0.9375,0.9,0.96,0.81,0.864,0.9216,0.864,,5.0
114,0.84,1.0,5.0,234.0,5.0,0.0,1.0,0.0,technical,medium,134.0,5.459585514144159,0.824175824175824,1.0,0.84,1.0,0.7055999999999999,0.84,1.0,0.84,,5.0
115,0.37,0.48,2.0,137.0,3.0,0.0,1.0,0.0,technical,medium,97.0,4.927253685157205,0.30769230769230765,0.1875,0.37,0.48,0.1369,0.17759999999999998,0.2304,0.17759999999999998,,3.0
116,0.86,0.68,5.0,263.0,2.0,0.0,1.0,0.0,technical,medium,163.0,5.575949103146316,0.846153846153846,0.5,0.86,0.68,0.7395999999999999,0.5848,0.4624000000000001,0.5848,,2.0
117,0.11,0.84,6.0,251.0,4.0,0.0,1.0,0.0,technical,low,131.0,5.529429087511423,0.021978021978021983,0.75,0.11,0.84,0.0121,0.0924,0.7055999999999999,0.0924,,4.0
118,0.37,0.57,2.0,133.0,3.0,0.0,1.0,0.0,technical,low,93.0,4.897839799950911,0.30769230769230765,0.3281249999999999,0.37,0.57,0.1369,0.21089999999999998,0.32489999999999997,0.21089999999999998,,3.0
119,0.4,0.46,2.0,132.0,3.0,0.0,1.0,0.0,technical,low,92.0,4.890349128221754,0.34065934065934067,0.15625,0.4,0.46,0.16000000000000003,0.18400000000000002,0.2116,0.18400000000000002,,3.0
120,0.14,0.62,4.0,158.0,4.0,1.0,1.0,0.0,technical,low,78.0,5.0689042022202315,0.05494505494505497,0.40625,0.14,0.62,0.019600000000000003,0.0868,0.3844,0.0868,,4.0
121,0.4,0.46,2.0,135.0,3.0,0.0,1.0,0.0,technical,low,95.0,4.912654885736052,0.34065934065934067,0.15625,0.4,0.46,0.16000000000000003,0.18400000000000002,0.2116,0.18400000000000002,,3.0
122,0.75,1.0,4.0,216.0,6.0,0.0,1.0,0.0,technical,low,136.0,5.37989735354046,0.7252747252747253,1.0,0.75,1.0,0.5625,0.75,1.0,0.75,,6.0
123,0.11,0.84,6.0,300.0,5.0,1.0,1.0,0.0,support,low,180.0,5.707110264748875,0.021978021978021983,0.75,0.11,0.84,0.0121,0.0924,0.7055999999999999,0.0924,,5.0
124,0.46,0.49,2.0,138.0,3.0,0.0,1.0,0.0,support,low,98.0,4.9344739331306915,0.4065934065934066,0.203125,0.46,0.49,0.2116,0.22540000000000002,0.24009999999999998,0.22540000000000002,,3.0
125,0.11,0.92,6.0,260.0,4.0,0.0,1.0,0.0,support,low,140.0,5.564520407322694,0.021978021978021983,0.875,0.11,0.92,0.0121,0.1012,0.8464,0.1012,,4.0
126,0.38,0.49,2.0,132.0,3.0,0.0,1.0,0.0,support,low,92.0,4.890349128221754,0.31868131868131866,0.203125,0.38,0.49,0.1444,0.1862,0.24009999999999998,0.1862,,3.0
127,0.7,0.89,3.0,183.0,5.0,0.0,1.0,0.0,support,low,123.0,5.214935757608986,0.6703296703296702,0.828125,0.7,0.89,0.48999999999999994,0.623,0.7921,0.623,,5.0
128,0.09,0.82,6.0,250.0,4.0,0.0,1.0,0.0,support,low,130.0,5.5254529391317835,0.0,0.71875,0.09,0.82,0.0081,0.07379999999999999,0.6723999999999999,0.07379999999999999,,4.0
129,0.37,0.45,2.0,151.0,3.0,0.0,1.0,0.0,support,low,111.0,5.0238805208462765,0.30769230769230765,0.140625,0.37,0.45,0.1369,0.1665,0.2025,0.1665,,3.0
130,0.1,0.83,6.0,292.0,4.0,0.0,1.0,0.0,support,low,172.0,5.680172609017068,0.010989010989011005,0.734375,0.1,0.83,0.010000000000000002,0.083,0.6889,0.083,,4.0
